timestamp,responseTime,testname,repeatTestCount,index,orderOfMagnitude.name,orderOfMagnitude.value,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,baseURL,concurrentUsers,currentIteration,telemetryStatus,requests,url,delay,total_heap_size_before,total_heap_size_executable_before,used_heap_size_before,heap_size_limit_before,malloced_memory_before,total_heap_size_after,total_heap_size_executable_after,used_heap_size_after,heap_size_limit_after,malloced_memory_after
2024-12-21T20:48:27.383Z,6.601,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:27.585Z,3.548,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:27.789Z,4.213,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:27.993Z,3.424,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:28.182Z,3.557,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:28.384Z,4.748,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:28.594Z,3.229,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:28.785Z,3.833,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:28.992Z,3.88,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:29.182Z,3.881,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:29.385Z,6.207,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:29.587Z,15.663,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:29.794Z,3.525,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:29.981Z,3.489,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:30.185Z,3.46,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:30.387Z,3.168,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:30.582Z,3.561,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:30.789Z,3.442,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:30.995Z,3.361,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:31.185Z,3.275,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:31.391Z,4.103,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:31.595Z,4.168,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:31.783Z,3.111,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:31.988Z,3.382,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:32.195Z,10.784,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
2024-12-21T20:48:32.383Z,2.656,Jaeger Comparison,3,Telemetry,small,2,1,200,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/2/2,200,56.906,1.75,42.575,1048,1.531,56.406,2.25,37.077,1048,1.031
