timestamp,responseTime,testname,repeatTestCount,index,orderOfMagnitude.name,orderOfMagnitude.value,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,baseURL,concurrentUsers,currentIteration,telemetryStatus,requests,url,delay,total_heap_size_before,total_heap_size_executable_before,used_heap_size_before,heap_size_limit_before,malloced_memory_before,total_heap_size_after,total_heap_size_executable_after,used_heap_size_after,heap_size_limit_after,malloced_memory_after
2024-12-21T20:35:11.791Z,168.956,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:12.044Z,123.375,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:12.295Z,162.86,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:12.544Z,138.415,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:12.790Z,144.683,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:13.041Z,146.54,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:13.293Z,131.23,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:13.541Z,144.198,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:13.792Z,128.012,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:14.040Z,152.621,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:14.292Z,119.34,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:14.541Z,145.667,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:14.793Z,116.159,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:15.045Z,141.66,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:15.293Z,121.71,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:15.544Z,132.169,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:15.794Z,145.779,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:16.042Z,126.395,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:16.293Z,143.068,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:16.543Z,152.22,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:16.795Z,132.032,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:17.046Z,146.21,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:17.298Z,125.216,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:17.550Z,143.444,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:17.798Z,120.914,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:18.054Z,142.693,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:18.290Z,123.065,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:18.545Z,154.578,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:18.792Z,129.9,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:19.040Z,143.025,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:19.291Z,122.328,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:19.542Z,133.83,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:19.793Z,134.396,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:20.041Z,141.355,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:20.293Z,123.589,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:20.544Z,149.758,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:20.792Z,126.398,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:21.040Z,132.919,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:21.290Z,130.565,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:21.542Z,148.744,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:21.794Z,133.65,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:22.046Z,140.839,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:22.298Z,121.016,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:22.551Z,140.047,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:22.801Z,125.192,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:23.052Z,137.517,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:23.289Z,132.41,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:23.541Z,138.998,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:23.794Z,130.366,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:24.046Z,142.747,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:24.295Z,131.966,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
