testname,baseURL,repeatTestCount,minutesPerTest,concurrentUsers,agreementId,telemetryInApp,orderOfMagnitude.value,orderOfMagnitude.name,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,currentIteration,telemetryStatus,timestamp,cpu_usage,memory_usage,memory_limit
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:05.643Z,4309139799,119144448,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:06.647Z,5153304804,139919360,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:07.650Z,5277141663,142303232,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:08.656Z,5652256106,132624384,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:09.660Z,6514948731,151568384,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:10.662Z,6541327326,158949376,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:11.664Z,6579436355,155504640,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:12.668Z,7496632921,142028800,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:13.672Z,7496808291,142028800,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:14.674Z,7536945901,140845056,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:15.678Z,8356126633,161480704,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:16.684Z,8357986447,161374208,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:17.687Z,8415920947,167923712,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:18.691Z,9099628294,147496960,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:19.694Z,9343577205,150208512,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:20.696Z,9409569406,148664320,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:21.700Z,10229680420,166854656,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:22.703Z,10229830726,166764544,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:23.706Z,10355366433,173559808,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:24.710Z,11214811039,152100864,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:25.713Z,11214980328,152100864,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:26.715Z,11305565287,150941696,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:27.719Z,12101308230,161947648,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:28.723Z,12101491852,161894400,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:29.725Z,12199978507,169517056,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:30.729Z,12903876371,155467776,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:31.733Z,13131225146,157904896,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:32.735Z,13245290808,157048832,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:33.739Z,13966373282,164339712,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:34.744Z,13966530401,164286464,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:35.746Z,14100881118,170401792,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:36.750Z,14927128010,159166464,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:37.753Z,14927272189,159166464,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:38.756Z,15059380463,159543296,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:39.760Z,15776935970,170348544,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:40.764Z,15777095372,170307584,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:41.767Z,15936556713,173867008,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:42.771Z,16540521190,160972800,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:43.775Z,16764745004,163430400,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:44.778Z,16923480995,163414016,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:45.782Z,17614591485,171069440,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:46.785Z,17616158121,171069440,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,1,UNKNOWN,2024-09-04T20:44:47.788Z,17789537602,173633536,4194304000
testname,baseURL,repeatTestCount,minutesPerTest,concurrentUsers,agreementId,telemetryInApp,orderOfMagnitude.value,orderOfMagnitude.name,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,currentIteration,telemetryStatus,timestamp,cpu_usage,memory_usage,memory_limit
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:05.714Z,4452748787,121458688,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:06.717Z,5318503316,140124160,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:07.720Z,5386781281,143257600,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:08.722Z,5760822263,133357568,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:09.724Z,6832872252,136683520,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:10.727Z,6853130959,136683520,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:11.732Z,6881242710,136896512,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:12.735Z,7735513507,156209152,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:13.740Z,7735701997,156135424,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:14.742Z,7766100782,161828864,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:15.746Z,8703159742,150548480,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:16.751Z,8703320319,150360064,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:17.753Z,8756995202,150077440,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:18.755Z,9350762147,159707136,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:19.760Z,9594661184,162332672,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:20.762Z,9680833083,166301696,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:21.766Z,10600178472,153784320,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:22.768Z,10601969322,153546752,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:23.771Z,10715534793,153505792,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:24.774Z,11473239935,162582528,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:25.778Z,11473404327,162582528,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:26.781Z,11566995224,164352000,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:27.785Z,12450106358,157196288,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:28.789Z,12450379013,157122560,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:29.792Z,12542544421,156573696,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:30.796Z,13067144777,165662720,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:31.800Z,13316513240,166715392,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:32.803Z,13442926453,164921344,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:33.807Z,14294879326,159653888,4194304000
TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,2,UNKNOWN,2024-09-04T20:45:34.811Z,14295051555,159420416,4194304000
